,Mean,Stddev,Median
356,1.8272183,0.17903551,1.8042655
357,1.8277234,0.17491949,1.8082047
358,1.8290348,0.1739625,1.809045
359,1.8297715,0.17577733,1.8052123
360,1.8266301,0.17309238,1.8060337
361,1.827605,0.17661446,1.8028208
362,1.8283104,0.17536943,1.8019956
363,1.8258569,0.17365943,1.8021789
364,1.8253918,0.17350592,1.7988744
365,1.8256009,0.17353109,1.7995042
366,1.8282549,0.17207132,1.8021026
367,1.8273065,0.17145056,1.8008351
368,1.8281058,0.1721075,1.8013363
369,1.8340096,0.1873473,1.8005295
370,1.8308728,0.17491917,1.7991902
371,1.8272406,0.17347458,1.7965796
372,1.8301368,0.17319614,1.7939674
373,1.8311421,0.17410485,1.7972888
374,1.8310667,0.17200509,1.8009073
375,1.8319701,0.17091677,1.7989657
376,1.8331647,0.17127825,1.8006363
377,1.8326207,0.1755576,1.7953148
378,1.8317181,0.17705007,1.7936562
379,1.8315339,0.17838034,1.7958086
380,1.8332784,0.17793998,1.7957394
381,1.8346065,0.1789563,1.792764
382,1.8381909,0.18183134,1.796096
383,1.8379434,0.18291894,1.7960465
384,1.839131,0.18642749,1.7967584
385,1.8310013,0.18790738,1.7941751
386,1.8321135,0.18463284,1.7969621
387,1.8328208,0.18800507,1.7948006
388,1.8302312,0.1882985,1.7915205
389,1.8284614,0.18949369,1.7940536
390,1.8309072,0.18861133,1.796071
391,1.8294106,0.18941185,1.7943119
392,1.8272247,0.19034378,1.7908295
393,1.8272423,0.19138844,1.7894405
394,1.8257133,0.18669593,1.7893369
395,1.8223741,0.18895267,1.7900939
396,1.8187973,0.19138858,1.7832893
397,1.8189275,0.19072556,1.7834914
398,1.818642,0.18865947,1.7868547
399,1.8167573,0.19320373,1.7838001
400,1.8171289,0.1954406,1.7875988
401,1.8161373,0.19744729,1.7857536
402,1.8171688,0.19696951,1.7822883
403,1.8129817,0.19585805,1.7767928
404,1.8144587,0.19879782,1.778053
405,1.8105776,0.20018466,1.7712656
406,1.8091084,0.19888902,1.7727162
407,1.8069576,0.19848643,1.7764027
408,1.8054525,0.1982491,1.7698481
409,1.8037134,0.19599585,1.7698243
410,1.8047078,0.19786635,1.7692188
411,1.8019084,0.19910954,1.7714809
412,1.7987536,0.20041844,1.7652388
413,1.7969091,0.19764017,1.763758
414,1.7957942,0.19859251,1.763524
415,1.7931423,0.19686657,1.7594293
416,1.7956285,0.20105919,1.7616823
417,1.7946777,0.201389,1.7615395
